iter	MultiClass
0	1.382146327
1	1.378191038
2	1.374604246
3	1.371074215
4	1.366373733
5	1.362902193
6	1.359564444
7	1.355200369
8	1.351943577
9	1.348867511
10	1.345789512
11	1.342815342
12	1.339826541
13	1.335902415
14	1.333051665
15	1.330279643
16	1.327702124
17	1.324172254
18	1.321459741
19	1.318944983
20	1.315885509
21	1.313202626
22	1.310082166
23	1.307781679
24	1.305553562
25	1.303233856
26	1.301110858
27	1.298630908
28	1.296332317
29	1.294372829
30	1.291454069
31	1.289401994
32	1.286823842
33	1.283990213
34	1.282164665
35	1.280361514
36	1.278405812
37	1.276651992
38	1.274047744
39	1.2723751
40	1.270741074
41	1.268302478
42	1.265855638
43	1.263654099
44	1.262109234
45	1.259823269
46	1.258298878
47	1.256672145
48	1.254597098
49	1.253292797
50	1.251920142
51	1.250469323
52	1.248859134
53	1.247530688
54	1.246225294
55	1.244977609
56	1.242949993
57	1.241812189
58	1.240670875
59	1.239469834
60	1.23761097
61	1.236305148
62	1.235017768
63	1.233938852
64	1.232311284
65	1.230984622
66	1.23005643
67	1.228525942
68	1.227440647
69	1.226125167
70	1.225216673
71	1.223550735
72	1.22211062
73	1.221196234
74	1.219749035
75	1.218561939
76	1.21776996
77	1.216409232
78	1.214949991
79	1.214164297
80	1.213240843
81	1.212035801
82	1.210631044
83	1.209284775
84	1.208565294
85	1.207735256
86	1.206527953
87	1.205325183
88	1.204541532
89	1.203226808
90	1.202459791
91	1.201267084
92	1.200599377
93	1.199958813
94	1.199271125
95	1.198164168
96	1.19738186
97	1.196763268
98	1.196172845
99	1.195078305
100	1.193985606
101	1.193326504
102	1.192674713
103	1.191666271
104	1.190704026
105	1.190006406
106	1.189338717
107	1.18868232
108	1.188079038
109	1.18746201
110	1.186797887
111	1.186278054
112	1.185575872
113	1.185149122
114	1.18422453
115	1.183354442
116	1.182738917
117	1.181780082
118	1.181364782
119	1.18045284
120	1.17962654
121	1.178738558
122	1.178051419
123	1.177298203
124	1.176473797
125	1.175685187
126	1.174908306
127	1.174299973
128	1.173813978
129	1.173411639
130	1.172747852
131	1.172188693
132	1.171684575
133	1.171252753
134	1.170602875
135	1.169945935
136	1.169593432
137	1.168987119
138	1.168619389
139	1.168293822
140	1.167742199
141	1.167344899
142	1.166665525
