iter	Passed	Remaining
0	16	32873
1	28	28951
2	41	27403
3	53	26734
4	66	26529
5	79	26524
6	92	26217
7	104	25983
8	116	25739
9	128	25573
10	140	25458
11	153	25362
12	166	25415
13	179	25418
14	193	25617
15	208	25873
16	222	25930
17	235	25899
18	247	25800
19	259	25708
20	272	25669
21	285	25634
22	297	25530
23	309	25507
24	322	25478
25	335	25470
26	348	25449
27	360	25397
28	373	25380
29	388	25491
30	403	25654
31	418	25742
32	432	25752
33	444	25708
34	457	25687
35	470	25659
36	483	25631
37	496	25640
38	509	25628
39	522	25597
40	535	25591
41	548	25572
42	561	25554
43	575	25595
44	590	25645
45	603	25647
46	617	25676
47	631	25691
48	646	25728
49	661	25816
50	676	25868
51	695	26067
52	711	26141
53	726	26193
54	742	26266
55	759	26378
56	776	26471
57	792	26527
58	807	26563
59	825	26682
60	839	26688
61	853	26690
62	868	26710
63	882	26705
64	898	26742
65	912	26737
66	927	26745
67	941	26763
68	957	26784
69	970	26769
70	984	26753
71	998	26730
72	1011	26699
73	1024	26669
74	1038	26647
75	1051	26628
76	1065	26600
77	1079	26599
78	1092	26577
79	1105	26543
80	1121	26569
81	1135	26568
82	1150	26567
83	1163	26544
84	1177	26528
85	1190	26493
86	1203	26465
87	1217	26454
88	1230	26425
89	1244	26406
90	1258	26392
91	1272	26393
92	1285	26360
93	1300	26364
94	1315	26372
95	1329	26360
96	1342	26339
97	1355	26309
98	1371	26337
99	1384	26309
100	1398	26290
101	1411	26264
102	1424	26233
103	1437	26212
104	1451	26188
105	1463	26154
106	1477	26135
107	1492	26146
108	1507	26155
109	1521	26138
110	1534	26117
111	1548	26095
112	1560	26064
113	1573	26037
114	1586	26007
115	1599	25984
116	1612	25958
117	1625	25928
118	1638	25901
119	1652	25883
120	1667	25901
121	1682	25900
122	1696	25894
123	1710	25879
124	1724	25860
125	1737	25838
126	1750	25811
127	1763	25787
128	1776	25762
129	1789	25744
130	1802	25719
131	1816	25707
132	1829	25688
133	1842	25662
134	1858	25668
135	1872	25666
136	1886	25659
137	1900	25639
138	1913	25616
139	1926	25591
140	1939	25575
141	1953	25566
142	1966	25541
143	1979	25509
144	1992	25486
145	2005	25465
146	2019	25452
147	2033	25449
148	2048	25452
149	2061	25428
150	2075	25412
151	2088	25393
152	2101	25370
153	2114	25345
154	2127	25329
155	2142	25330
156	2157	25329
157	2172	25321
158	2186	25313
159	2200	25306
160	2214	25299
161	2230	25305
162	2244	25293
163	2258	25287
164	2272	25275
165	2287	25269
166	2301	25258
167	2315	25248
168	2329	25243
169	2344	25237
170	2358	25224
171	2372	25213
172	2385	25191
173	2401	25202
174	2415	25190
175	2428	25167
176	2442	25151
177	2454	25127
178	2467	25101
179	2480	25083
180	2494	25066
181	2507	25043
182	2520	25025
183	2533	25008
184	2546	24985
185	2559	24964
186	2573	24946
187	2588	24947
188	2602	24936
189	2615	24916
190	2628	24894
191	2642	24879
192	2655	24860
193	2668	24838
194	2680	24814
195	2695	24805
196	2708	24785
197	2720	24762
198	2734	24745
199	2747	24730
200	2762	24725
201	2777	24721
202	2790	24699
203	2803	24682
204	2817	24666
205	2830	24648
206	2843	24630
207	2856	24608
208	2869	24587
209	2882	24567
210	2895	24550
211	2908	24530
212	2921	24510
213	2934	24490
214	2950	24495
215	2966	24498
216	2979	24480
217	2993	24465
218	3005	24445
219	3018	24424
220	3031	24403
221	3044	24383
222	3057	24367
223	3071	24348
224	3084	24333
225	3097	24315
226	3110	24296
227	3126	24300
228	3140	24285
229	3153	24271
230	3166	24251
231	3179	24233
232	3192	24212
233	3205	24194
234	3219	24179
235	3232	24163
236	3246	24149
237	3258	24127
238	3272	24112
239	3286	24097
240	3299	24083
241	3315	24084
242	3329	24077
243	3342	24055
244	3355	24038
245	3369	24021
246	3382	24006
247	3396	23994
248	3409	23977
249	3422	23959
250	3436	23943
251	3449	23924
252	3462	23911
253	3476	23898
254	3491	23893
255	3506	23884
256	3518	23863
257	3531	23844
258	3544	23828
259	3558	23811
260	3571	23796
261	3584	23775
262	3597	23759
263	3610	23743
264	3623	23725
265	3637	23711
266	3650	23696
267	3664	23683
268	3678	23672
269	3694	23669
270	3707	23655
271	3721	23641
272	3735	23628
273	3748	23611
274	3761	23593
275	3774	23574
276	3787	23557
277	3800	23542
278	3814	23526
279	3826	23507
280	3839	23489
281	3854	23481
282	3871	23486
283	3884	23469
284	3898	23459
285	3912	23446
286	3926	23435
287	3940	23424
288	3954	23412
289	3969	23408
290	3983	23395
291	3997	23382
292	4011	23370
293	4024	23355
294	4039	23346
295	4054	23340
296	4069	23333
297	4083	23322
298	4097	23310
299	4110	23295
300	4124	23282
301	4137	23265
302	4151	23253
303	4166	23242
304	4180	23235
305	4194	23222
306	4209	23212
307	4226	23216
308	4240	23205
309	4256	23202
310	4269	23188
311	4284	23179
312	4297	23162
313	4311	23148
314	4326	23142
315	4340	23130
316	4354	23119
317	4367	23099
318	4380	23085
319	4397	23087
320	4412	23079
321	4426	23066
322	4439	23050
323	4454	23043
324	4468	23028
325	4481	23014
326	4497	23008
327	4511	22997
328	4526	22991
329	4540	22978
330	4557	22982
331	4572	22973
332	4587	22964
333	4602	22958
334	4617	22948
335	4631	22938
336	4645	22923
337	4658	22907
338	4673	22897
339	4687	22887
